用户名,内容
匿名用户,我是那种很早知道自己要考研的，就是一种想要不断学习的梦想，听起来很奇怪，可能有一部分原因是不愿接受自己走进社会吧。我选择考研，准备考研都是自己的决定，说起来目的性真的也没有很强，因为还是做好了考不上的准备。身边的人是知道我的想法的，原本他们没有想法，后来我也可以清楚的感受到自己着手准备了之后，他们渐渐动摇。前后跟几个人谈心过，面临毕业每个人都在为前程担忧，他们都是想跟我找经验找安慰，其实我什么都不懂，但是最后他们还是选择了跟我一样的道路。我知道其实他们最开始就是想要跟风，我的想法对他们做决定起了很大的作用。只是他们的理由又各不一样，有人为了梦想，有人为了高点的学历，还有人因为我(本人很学渣)都考研，认为自己也不差也要考(这个理由我是比较哈哈哈的，这才是跟风啊，还有攀比)。不过我只想说，无论是什么情况，人生的路到底是自己选择走的，我反正是不为任何跟风的行为负责，我也没有诱导什么的。我虽然不喜欢跟风这种行为，但是考研这事真无所谓啊，反正又不是我给他们考。
Gigi,二战考上，9月份准备入学是什么吸引我考第二次因为第一次专业课考差因为我想留在高校工作在高校，大家应该都知道至少硕士只是硕士估计只能做行政（我本科母校如此，不太了解其他高校）然而，现在在广州，有着一份工作觉得行业前景可观是不是2年后（专硕）可以考虑回来继续。。。不好意思，可能歪了不过，跟风不跟风的看个人规划看个人选择现在考上了，也是要面对选择谁知道什么时候不用做人生的选择题呢
匿名用户,没想好自己要什么，要走什么方向，不建议去考研，我看到的大多在浪费时间。有那个时间和精力，不如干点自己想干的，学点自己想学的。现在网络这么发达，学点什么不容易？
鹿衔草,位次。决定你找工作的名片是位次就像高考。60年前中专的位次现在一本也未必可以达到。所以考研。至于是不是工作是不是非要研究生才可以做好反而不重要。
小肥羊之父,不考心里慌啊
匿名用户,答主大三 谢邀果断匿身边目前有这么几类同学1.保研已稳。找导师，维持自己成绩，保研结果出来后就开启吃喝玩乐模式2.正儿八经考研。选定自己的研究方向，物色导师发介绍信，约导师见面，重点还是不断努力努力再努力的复习备考，12月底考完再准备来年四月的复试面试，最辛苦的一群人，祝成功3.出国。出国也分两种 A.国内大学已满足不了自己，想冲击世界TOP10，刷均分的最后机会，另外准备语言，准备简历，找推荐导师，走学校项目或者找中介，也很辛苦，9月10月左右拿到offer后开启吃喝玩乐模式 B.国内考研无望又不想结束学生时代也不满于本科学历并且家里有钱，在保证本科顺利毕业的前提下找一个靠谱的中介，申请国外的硕士预科，相比于A类同学来说轻松容易的多的多，几乎不需要刷分，70稳走TOP150不滑，语言方面要求不高好达到，已经开启吃喝玩乐模式，9月10月拿到offer后更加肆无忌惮的吃喝玩乐。你也许会觉得不公平，为什么B类出国同学如此轻松却能上到好学校，毕竟国内在世界排到TOP150的学校不算太多，靠考研的话着实需要很努力，其实没有什么不公平，考研的同学付出的是自己的努力，B类同学付出的是大笔的金钱，在学校里B类同学大概会被大家羡慕的同时嫉妒，嫉妒更多吧，说句公道话，我是打算考研的，也许B类同学走的路会被评价为贬义的捷径，但我认为，在不伤害他人的前提下，没有什么捷径是值得抨击的。心态决定一切。加油吧各位同龄朋友，在自己选择的路上认真决绝地走下去就好。最后祝大家都能考上自己的Dream School
绿野飞仙,我一个专科生，通过插本考上本科读完两年，可能也会遇到这样的困惑吧。听听各位的经验也是挺好的。
匿名用户,如何看待大学生跟风似的就业？
shugakao,化学考研 真的是想不开
匿名用户,搁以前，也可以有个问题如何看待现在学生跟风似的考大学
linlin瑶,大三时候可能因为不太清楚以后要做什么 往哪方面奋斗吧 所以一堆人要考研 但最后真正报名的能少一小半 最后进考场的再少一些 极大多数真正考下来的都是真心打算考研而不是跟风的 跟风的一般受不了考研时候的折磨
匿名用户,这跟风算什么，狗清跟风读博跟谁说去 
喵乂叽,不是跟风，是社会形式如此。想想大学生值钱到不值钱，就是好不好找工作，中间才有多少年。我现在都打算读博士了。我们研究所整天开车，订机票，陪外宾的帅哥哥，竟然是厦门大学的研究生，在这里被秒成渣。我可不想我儿子女儿说她妈没学问，我想一直跟上时代的步伐，想一直往前走，就要一直不断学习。当然，学历不是唯一的标准，但学历也是一条前进的路子呀。
John Titor,如何看待人跟风似地考大学？
匿名用户,现今本科生毕业后的出路无非是就业（创业）、考研和出国。就业大环境不消多言，随便一个过得去的职位都要硕士及其以上学历或是三年以上工作经验，当然对于特别优秀的（如本科期间加入实验室，做了很多有含金量的比赛且成绩优异）毕业生条件会放宽，但这种人的比例并不高。至于创业，不依靠父辈能量而成功的凤毛麟角。出国，语言是一个门槛，当然对知乎人均985来说可能不算什么，但有很多的双非学生英语基础并不好，从零学习德语等小语种成本（时间、金钱等）也很高，另外出国所需要的费用也让许多人望而却步（全奖没那么好拿的）。再说到考研，如果你之前成绩优异直接保研最好不过。而对于大部分成绩中游的学生，比起用多年青春换工作经验、费时费力申请一个国外并不入流的学校，考研几乎算没有门槛，性价比高，一年甚至半年（基础较好者）的努力拼搏，就可以换来一个永久性提升自身价值的机会，一个将来就业的敲门砖。所以，不去跟风考研，去做什么？
Link,考上研之后会怎么样我不知道，我只知道如果不考研我基本吃不饱饭。本科中流211，电子类。
匿名用户,题主这个跟风用的，对这些考研的人到底是多么不屑？别人自己的选择，为了更高起点，为了就业更有竞争力，或者就是想以后可以告诉别人自己是硕士学历，博士学历，不知道这有啥问题？题主需要用跟风来形容？题主是不是不考研看到周围很多人考研心里想考研有什么用？这群人根本不知道自己想要什么，就只会混日子？还是题主自己也考研，看到周围人也考，觉得只有自己最厉害，是遵从内心，别人都是盲目跟风？只能说，人不要高估了自己低估了别人。题主你自己好好想想，你这么形容你的同学们努力备研为跟风，就能显得自己多么鹤立鸡群了么？
匿名用户,大学没做过科研竞赛的我，考研是为了发两篇文章日后出国用
原原那圆圆,个人认为吧，硕士2-3年的投资是比较划算的，出门的确好多地方都比本科方便一些，毕竟很多单位最基本层次也要硕士。博士动辄5年的投资性价比就有点收不回来，如果是超快5年硕博还可以考虑。另外呢，学历这个东西只能自己跟自己比，一般情况下对于同一个人，总是学历高点好，对于不同人，背景、能力都不同，拉出来比学历，难道初中老师没交过控制变量法？
匿名用户,不考研哪个医院要你？摊手
扶我起来我还能送,相关问题：为什么所有人要跟风高考不知道有什么好问的…想要高一点的学历到底有啥好怎么看待的啊
匿名用户,跟风？如何定义？在我看来：很多人跟风结婚。很多人跟风生孩子。很多人跟风社交。很多人跟风提问题。你怎么知道那些看似跟风的的人、看似没有主见的人，心里到底是怎么想的？
知乎用户,   有吗，没有吧。我身边的人有的只是抱着试一试也没怎么读，有的是跟我一样努力的，所以只是努力程度不同，付出程度不同。
尚迟夏,如果考研是跟风，那高考算什么？
匿名用户,说一下我跟风的理由。也是没办法，被逼的。我想做公务员但是好单位基本都要研究生，考研仅仅是为了达到它们的门槛。否则连竞争的机会都没有。今年毕业以本科学历考公，130多分还是没进面试，不得不感慨面试分数之高。而研究生的岗位据我看来分数较低。没有所谓的情怀，学校不重要，能上就行，挑简单的报。专业我考的历史，因为自认为历史基础不错，且英语要求低过本科专业文学。我给自己两年考不上就接受现在的自己。不会死磕。
tutus,用本科知识粗浅地回答的话，本科学历不再是一个良好的信号了。现在学习成本很低，读个本科已经不是一个难事，当大家都是本科生的时候（除开特别优秀的清北复交等学校），企业难以从众多学生当中很好地分辨出应聘者的优劣，以至于企业不得不用研究生作为一个信号来进行甄别。通俗而言，本科学历已经贬值，于是去读研究生也是再正常不过的事情。但其实，如果真的混个研究生学历，虽然在一定程度上能够通过高要求企业的甄别，但真正到了企业后，企业了解工作者的成本下降，这样很多人将会露陷了。自发读研或者跟风读研，不做过多评论，为了未来的可能更好的际遇，无可厚非的。除开真正为了兴趣和科研的部分，剩下若为了工作，除了拿文凭，在此还是更希望能够提升自我吧。既然我们发送了研究生的信号，雇主则会先入为主认为是高能力者，倘若与事实想违，到时候也会尴尬吧。
平南王,也不能说跟风吧，至少我身边考研的战友都是有自己的明确的规划，明确的目标，明确的规划的。都是希望自己以后的路更好走。普通二本的学生考研真的是一次转折的机会。而且，能坚持下去，并且考上了的是跟风的不多吧？考研过程确实不容易的！盲目跟风的估计中途就会放弃了吧。你若能抗，必能考上！
曹焱焱,本人是17届的毕业生，来说说我们班吧。普通一二本说出去会被当地人嘲笑的学校。我们班33个人，有十个左右考研的，当时每天看他们去图书馆早出晚归，无心上课，觉得很苦。而我在大二的气候也有过考研的想法，我爸爸说还是早点出来工作吧，我就放弃了。结果，我们班十多个考研的只有一个考上了北京理工大学，其余都落榜了，我是国际经济与贸易专业的，而唯一一个考上研究生的同学考的是心理学。
匿名用户,我以前觉得不用考研，当个柜员也挺好现在柜员大面积削减面试的又都是一群985 211的研究生考研不是跟风是形势所逼
李lee,这有啥好说的，一般跟风的考不上
匿名用户,本科前两年玩过来了，感觉这个样子出去够呛，还是多读几年学点东西再出去吧
奈尔良,让我想起来还有本科生跟风似的做科研…
知乎用户,因为本科毕业找不到工作
匿名用户,不考研等着题主来给我找工作吗？来给我加薪吗？来包养我吗？
匿名用户,我是17年考研的，跨考厦大金融学，然后过线了没去复试，现在在准备出国。跟不跟风其实不重要，毕竟要坚持下来确实不容易，而且说不定目标明确的人没考上，别人混着混着就考上了呢。
青鳥,大学生越来越多，本科文凭不值钱了就这么简单啊随着行业的不景气，这几年神华之类的企业来我校都不怎么招本科生了，想找个好工作肯定要从每年毕业的800w分之一变为50w分之一啊
匿名用户,跟风的是很少数吧，大部分都是知道自己想要什么的。其中部分有很详细的规划，部分是模糊的知道自己想要什么，暂时不能完全说清楚，真正跟风的人很少。这是我看我身边的人得出的结果，可能有局限。另外很好奇题主是怎么确定你什么边的人是在跟风，他们可能是有想法只是没告诉你呢。
贰猫,很多大学生到了大三大四会开始焦虑未来 而考研一方面可以提示学历 提示自己 而且更高的学历相对而言更好的找工作 同时还能延迟走上工作的时间
180度,我觉得考研，是自己想考吧，但是目标不明确，自己也很头疼，关键是自己下不了决心，玩心太大，管不住自己，肯定是能坚持下来，可是质量不好，还是很担心
匿名用户,其实我想问如何看待现在大学生为了考研，去考一些教育学，心理学，哲学专业。
匿名用户,我感受到的反而是生源的严重下降。坐标中科院某工程类研究所核心的组。组里每年经费过千万还是有的，自然基金这种东西组里一向是不考虑的。12年进所作为一个学渣混成大师兄，没按时毕业。这两年负责帮老板小老板招人和研究生部联系等工作，对这几年的生源还是深有体会的。12年前所里是不招收调剂生的，近几年有一两年都没招满。12年前组里每年都有清华的保送生，多数是c9学生。12年后没清华了，15年后连c9都没了。整体做事情的态度，状态，能力，也是越来越差。可能大腿们都出国了吧，毕竟我这种大学70/140的学渣，好基友都剑桥博士毕业留组里博后了，我还没毕业呢。欢迎各位优秀的本科生报考相应的中科院院所，机会不比高校差。
mz liu,看一下招工就好了 有多少学历直接写了硕士 还有单写博士的 至少做数据分析机器学习这边我还没见过本科的你怎么保证你不在简历关就被筛掉 那就只能去匹配 感觉都是逼的 
雷小宝,个人的选择而已，和跟不跟风没多大关系。
匿名用户,因为上大学混了四年发现什么都没学到，不知所措时想想还能考研接着混个几年，所以就这样咯:D
匿名用户,说实话，确实有一大部分人是跟风，他们考研的动力，主要就是因为研究生待遇比本科生普遍要好，他们不知道本科毕业有什么出路，不确定自己以后要做什么工作，自己梦想去哪家公司，所以只好不断提升自己学历，等到研究生阶段对专业有了更多的了解再做打算实际就是逃避就业，当然这也没什么不好，现在企业招聘确实对学历有更高要求。有的人对自己职业发展有明确的规划，有实力有能力，本科毕业签了心仪的公司，这些人不用考研也罢
一百只柚子,只是想拿到更好的敲门砖而已怕本科出去也难就业
匿名用户,像我们这种没钱、没人脉、脑子还不好用，还想以后生活的稍微容易一点的人来说考研是唯一的选择。补足起点的差异，为自己多一点点竞争力。跟风也好，自愿也罢，不考研哪里有机会……
心情不美丽,自己没有过想要过的生活
艾球球,考研给自己多一点选择，未必不好
北岛甜奈,那咋不说别人跟风高考、跟风工作呢
匿名用户,謝耀…. 就是 為了逃避 就業壓力…. 逃避現實… 把自己 畢業就失業啃老 要飯的時間 往後 推 三年…. 浪費生命 和浪費家長 血汗錢…. 哈哈哈哈哈哈哈哈……還有人借助 考研 逃離所有天坑專業的…. 啊哈哈哈哈哈哈哈…. 也有少部分 學 萬金油和熱門專業的學生… 是為了提升學歷… 方便考公務員… 和 提高自己的薪資…. 提高自己的競爭力… 啊哈哈哈哈哈哈哈哈哈….理科文科工科 所有天坑專業的 考研就是 浪費 青春….. 文科天坑—- 所有大語種小語種和英語當專業 …. 所有 類型的導遊 證… 工商旅遊酒店文化產業 管理…. 對外漢語…. 國際貿易… 國際關係…. 都是 要飯專業…. 頂級院校畢業生也在沿街乞討….. 哈哈哈哈……考研轉行到萬金油專業和熱門專業… 這樣提升學歷才有意義…. 考技校… 研究一技之長…. 畢業後收入也很高…. 
匿名用户,确实感觉挺恐怖的，但是和专业有关。大三高分子材料专业，班里就俩人没有考研意向。除去我和同班另一个想跨考的估计都要考材料了。就我个人看来，本科阶段材料专业学的东西没用（有大佬来轻喷，个人见解），就是做题背题而已，这种情况培养的学生我不知道能出去干啥工作了，厂狗？销售？他们没有以后究竟要从事什么工作的方向，也没有具备什么专业能力，到底能干什么活————当牛马。那还不考研给自己过度一下吗？我身边见到好几个根本不喜欢这个专业还硬在实验室靠时间的。感觉这三年时间不知道自己以后想干什么挺悲哀的。
夏洛特莉莉,其实大学生跟风考研，倒还不是最可怕的。可怕的是为了暂时缓解就业压力，高校拼命扩招，全社会共同呼吁，铺天盖地的新闻热搜……几年后。毕业了，这些人将面临什么呢，不过是比三年前更惨痛的现实罢了。而且自己心态也变了，更不平衡了，更不甘心了……
尤瑟夫卡,直说吧，现在经济下行实在是难找工作，考研可以缓几年看是否能磨过这个时间段，是这么个思路，可惜。。
零无渊,然而因为疫情原因为了缓解就业压力，国家还扩招，跟风什么的主观情绪真的是很肤浅的表因，建议考察当前经济基础和大环境
匿名用户,这合理吗？不合理但是你有反抗时代大潮的勇气吗？你没有所以早点睡吧，明天早上还要早起背肖四呢
救世主周先生,除了真的有需要的 不都是家里有几个闲钱想着有个正当理由啃几年老的吗
匿名用户,不是考研有这么大的吸引力。而是相对于自己还没有任何方向的选择，和明显有自己方向并且考上之后也没有什么坏处的考研来来说，后者这个选做出的成本比较低，参照物比较多，而且不用动什么脑子思考只要学就好了，顺带中途多关注一下考情。但是如果不考研，那么选择就多了。是就业，还是回家啃老。是选择创业还是选择考公考事业单位，是在学校这个城市还是回到自己家乡的城市。其实这些问题如果没有考上研究生或者研究生毕业之后还是要考虑的，但是目前不做这样的思考，就非常省事。但是这种情况也可能只是选择考研中的一种情况。还有一种可能是因为自己本身所学专业就业至少都得研究生才能拿的出手，你说我跟风我是真的跟风，但是也是真的无奈。也有一种同辈压力在其中，自己的朋友，自己的舍友，或者自己兄姐的学历都研究生起步的那种，真的不考研就会有一种被超过的感觉。学习氛围也是一方面，比如说我之前在果仁app（双一流大学生社交平台）上看到一个同学说的自己专业基本上只有个位数同学没有读研的想法。这个时候选择读研其实会是一种本能，而且是大学几年已经根深蒂固的那种。其实每个人选择考研都有自己的道理，一般是综合自己专业就业兴趣方面的考虑，可能其中的部分是在跟风。但是选择了考研这种现象真的没有什么好批判的，因为大家是在为自己的人生做选择。而其他人没有插手的立场。且，现在研究生学历可能真的是就业时候的默认起步学历了，学历内卷如斯。
白话英国王朝,本科毕业就能找到钱多事少离家近的工作，谁会去考研？
初学者,谁想考考呗，谁说就跟风了，这么大个决定都跟风考，那我觉得你还是remake吧。至于有些人还瞧不起考研的，我觉得真的是脑袋有坑。什么延缓就业，现在本科生有多难就业你知道吗？现在那有的大城市小学都需要博士去教了 就业门槛越来越高，这些明显是企业的问题，现在却反过头来怪我们这些韭菜是吧 自己懒还怪别人为什么努力是吧
special,真是个神奇的问题，跟风考的，他就算跟风了，考起了就是考起了，至于后来每个人不同的怀疑或者说临考前的退缩，都是他自己要承担的结果，不管跟风还是不跟风，承担结果就好，到时候不是你想不想承担的问题，我身边也有这种所谓跟风的啊，考呗，无论是跟风然后半路悟出一些东西的还是从头到尾别人干什么我干什么最后自我怀疑的，你自己承担呗，至于那些什么问题，问自己为什么要考研，你不是跟风的你管好你自己就好了，也不需要来这嘲讽一顿所谓跟风的人，我的观点就是，你考呗，你我都要承担结果，想好没想好是自己的问题，要是我旁边的一个人只是出于尝试和探索去考研，我好像什么感觉都没有，这就是大多数人都能走的通道，不同在于人。
水到渠成,别管人家的事，做好自己就行
匿名用户,如何看待大学生跟风似的就业
秃头的法法,跟风吗？那要看风大还是风很大啦。也要看你理解的风是什么风。是乘东风而起势还是随西北风挣扎了。跟风式考研，有部分人确实如此，有部分人要通过考研改变本科院校，追求自己心中的院校，弥补遗憾，有的人是被最近的大环境所影响，毕业找不到工作，找不到理想工作而去考研提高自身优势。现在就业形势压力这么大，总得缓和下吧，总得分流吧，这是一个口，缓解下社会矛盾
匿名用户,两年前的我说自己绝对不会考研我要早早地赚钱工作经济独立。但是真的当我实习工作的时候碰到的都是自己丝毫不感兴趣的事情，以及漫无目的的一天天。于是在实习期结束前几天决定辞职了。在我家里看来我辞了工作去考研非常没必要，但是我没有办法跟家长们说清楚各种职场里的画饼、不公平以及和大家在项目上价值观的不同。我选择考研是希望以后有更多选择自己喜欢的工作的机会，但我同样可以面对考研失败接下来工作的现状。其实我觉得更多的时候大家选择考研算是给自己多一个选择方向吧。不过，谁不想在学校里再充当几年“少年”呢 
迷你狗熊,无非就是名与利，有目标就玩命去实现。无论什么选择，自己不遗憾就行。我就没考研，也不觉得什么。之所以进来，是因为考研时间快到了，知乎，微博，微信公众号疯狂推送
Solace,Q1，上了这么多学，到底是筛选了人还是培养了人多一些？A1，筛选Q2，一直上学而习惯于学校的处理方式，从学校出来后会不适应吗A2，会Q3，如果不适应那么靠什么能够改变呢A3，要么回到从前的环境，要么在新环境中找到新的自我，要么凑合过Q4，当前的环境允许我们找到新的自我或者凑合过么A4，允许，只要你不在乎回到乡村小镇，不在乎自己的父母对你未来的要求或者父母的成本，不在乎你的另一半，不在乎你对后代等所有社会关系的人要求，不在乎自己费了十来年除了自身劳力啥都没有的一纸文凭，不在乎你和有你关系的人参与到在工作和住所二选一的游戏中，那么，你基本可以找到新的自我或者考研了Q5+A5，那我还是考研考公考编制吧A6，你或许还有其他选择Q6，什么选择？A，Remake或者大字都不识一个搁那傻笑或者……安居才能乐业
四季奶青加芋泥,    作为工作两年后决定加入考研大军且跨专业的人，我觉得这个问题真的在一段时间内不停地出现在我脑海里。本科的时候，我觉得自己不想跟风考研，但对自己喜欢的东西也不明朗，也没有好好规划自己未来的路要怎么走，就去工作了！两年中，我逐渐懂得了自己想要的未来，所以我跨专业考研了，但是这其中的金钱和时间成本真的很大！所以我觉得考研和不考研都是一种选择，主要是自己要明白自己想要的是什么，如果想不明白，跟风考研也未尝不可（个人意见，毕竟周围跟风考研的人虽然痛苦，但是毕业的出路大部分都比本科要好得多）
匿名用户,喂喂喂，不是跟风似的考研，是无奈！！是没有办法！！你以为我不想本科毕业就工作？你以为我想天天背这背那，卷卷卷？那你要我找得到只要是本科就可以应聘的公司啊
匿名用户,1.父母，特别是小城市父母，灌输一定要考研，可能还有着万般皆下品，惟有读书高的思想，不管你是啥专业考就完事了。2.社会，学历歧视，就业环境不好，内卷严重，高中生能做的本科来做，本科生能做的研究生做，再就是有些专业不考研没办法。3.个人能力问题，找不到好工作，像我这种渣渣学校每年也有学长本科毕业找到20w+工作的，进大厂的也有。今年秋招随便问了一下基本上都在7000+的水平，哪有知乎上说的就业形势那么难。。。4.少部分，有自己理想，想换专业，从事科研等。最后的最后2000年出生人口1700多万，2021年考研人数400多w，去除一些杂七杂八的对半算也有200万。也就是2000年左右出生的人每17个人中至少有2个人要考研。
简M,这不是跟风，而是形态所逼
四月是你的谎言,社会发展必然趋势  懂？→_→
匿名用户,因为好一点的单位基本都要研究生啊。确实有待遇不错的单位要本科生，但证书，奖学金，竞赛成绩，绩点，哪个也不比考研容易啊。是有那么一小撮优秀的同学很优秀，但更多的同学是没有奖学金，证书，绩点一般，没参加过啥竞赛的普通人啊。考研可以把前面三年大家的差距，全都抹平。考研不看证书，不看奖学金，不看校内职务。只需要报名，考，分够了就成。我是卷不动了，躺平了，找份离家近的工作混混日子就好，但更多的人渴望的是更体面的生活。既然如此，大家一起卷呗….
自在 独行,盲目不盲目我不知道，但我知道我必须考研，而且得考专硕，不为啥 就因为我是临床医学       
纯洁的少年,找不到工作，家里条件也还可以，那就考一考吧
suso villa,学历贬值吧，用人单位能要研究生就不会用本科生
空白,想进大公司就滚去考研，清北华五本的话当我没说
devotion,在中国，由于科举制的历史影响，高考考研或者说整个教育的作用就是筛选和分层。所以说，你只有一个优秀的学历才能被“允许”进入一些人人都想去的高附加值行业（比如说如中国烟草、中国电网这些垄断行业）。而公司要能高利润靠的就是垄断，由于公司收益高，员工的工资自然而然就会提上去，而这样的垄断行业并不需要你拥有多少能力。而在其他竞争惨烈的行业，即使你拥有超群的能力，你也会因为同行竞争激烈等诸多原因导致利润很薄，因而收入也会被严重挤压。因此，要想获得高收入，高学历才是最稳定的选择。
坦克琳,觉得工作太苦，不想工作，想在学校里再混两年
匿名用户,对于这些人我只能给个建议：要么上名校研究生，要么不上，不要迁就去二本甚至双非一本的研究生。去了也没什么用。顺便来个反印象流的暴论：研究生录取率越低越好，哪怕对于很多考生来说考不上也是越低越好，我要是考生巴不得录取率低于10%，即使今年考不上明年考不上。指望研究生录取率高好上岸的，非蠢既坏，多数是蠢。现在的研究生上岸率还是太太太太太高高高高高高高了。
匿名用户,不是你咋知道人家是跟风考研啊。你是别人肚子里的蛔虫吗？你身边的人，在你看来并没有认真考研，所以你就来知乎问这个问题？你做深入调查了吗？考研的动机是什么？是否真实存在这种情况？你核实了吗？没有核实就来提问，未免也太不负责任了吧。
一只仙女兔,无论考研  考公   找工作都是个人选择而已问这种问题的无非是自己不想考还想给自己一个心理安慰罢了
笔上山海,这是很简单的，经济大环境不好，就业难满意，与其宅在家浪费时间不如提高学历，为以后投资。
无铭,工作找好了吗，毕业论文写完了吗，期末考试复习了吗，体测过了吗，自己的事情没管好就别操心别的了
白开水,首先我觉得这个标题就很有问题 人数多不代表大家是跟风 为了自己更好的发展和更高的平台而选择考研没有什么不好的 或者单纯不想进入社会而选择多待在学校几年也没有什么不好 个人选择罢了 大可不必套上跟风这个稍带有贬义的形容词
匿名用户,对学术没有兴趣，所以不想考研再读三年书。还好我读的专业汉语言文学是万金油，二本师范学校。我跟家里人说不考研，努力考编当小学老师，我爸妈都支持，只有亲戚朋友们不同意不理解，让我读研，将来当高中老师。我怎么解释他们都不听，石家庄二线城市，高中老师得985 211了，还得是是教育学科语文专业，我说多少次我破脑袋考不上，他们就是不听，非说我不努力我目光短浅，我的天 。非985 211的大学研究生出来根本当不了石家庄的高中老师，就算初中老师也得参加社会编制考试，然而我大学毕业就能考为什么读完再考。我分析的是我个人，想当老师的情况。考不考研一定要结合自身情况，盲目跟风干嘛啊到底，真的不懂。
Ice,建议改成，如何看待各行各业跟风提高学历要求
LLTvT,我觉得此处应该有个镜像问题 ，如何看待企业跟风似的招研究生
爱吃菜的蛇,对呀，正如你说都是跟风的，两个舍友报名倒是报了，不过早就放弃了
人气女王杉陆,说明物质水平变高了。
人气女王杉陆,说明物质水平变高了。
春眠不觉晓,说实话我也是跟风考研，选了个比较好考的学校，我复试时间也不是很够，当时因为周围同学都在考，找工作的人也都没有确定岗位，我就跟风试了一下考研，考研成绩虽然不好，但是过线了，成绩出来我也没有告诉父母我考上研了，等考研学校通知交材料时我才问了父母意见，我父母才知道这件事，也支持我考研。我其实还是挺犹豫上研究生，觉得三年其实也挺漫长，一边找工作一边先把材料交了，由于专业限制和专业匹配的工作太少，当时周围很多老师同学也都劝我去读书，尤其是我本科毕业导师，非常推荐我去读书，我就后来也就去读了。今年刚上研一，我周围有好几个同学是上过几年班，然后回来读研究生的，而且是全日制，我就觉得要不就直接大学毕业就读研，把该做的都做了。我虽然是跟风考研，但是我觉得我跟对了这股风。
匿名用户,国家引导的，不关学生什么事，你真以为你的所有决定真的是你自己想做的？就业形势越来越不好，不把可能失业的人口放在一起管理，难不成放他们出去自己瞎搞？
这个,别扯一大堆大标题小标题了，其实就一句话：当人们在诸多选择里面选了一个最优选择，那就不是跟风了，那是没得选。
eee,不过是将进入社会的焦虑延缓到三年后，虽然读完研也未必就能找的到满意的工作。
弃绝自身,在学历贬值的大环境下，重仓垃圾资产追涨杀跌，能跑赢通货膨胀吗好处是熬过这波滞涨衰退期，下一个大周期下，刚好赶上国家推行职业教育，一半的人高中都上不了，研究生学历就很值钱了，“越老越吃香”
提子不是葡萄,为什么就是跟风似的考研？？？跟风一定程度上是贬义词吧 难道寻求更好的发展就是跟风了？当然肯定有很多人看到别人考研就去考研的 人家一没浪费公共资源 二没耽误自身发展 凭什么叫人家叫跟风啊 不要带着偏见好吗
匿名用户,稍微好一点的工作都特么限制学历，还是死规定，我有什么办法。10年前本科都能去公办中专，还带事业编制，硕士去公办专科三本给事业编制。现在硕士只去中专，还没有编制(去公办的中专也只能签劳动合同)，博士们去专科三本的一大把。不只是教师行业，最近还看了很多国企央企的招聘，好一点的岗位都是最低硕士或者博士。那些好点的用人单位要是高中毕业就要，我连大学都懒得读，这是实话。我只知道，我能接受的所有工作，就没有低于硕士的，还有很多博士才可以，所以我就得考研读研，表面上看是我主动考研没人逼我，实际上是客观环境所致。
锦瑟年华,落榜美术生
匿名用户,反正闲着也是闲着，不如考研
匿名用户,其实就是被机构洗脑，再一个本科生太多又没有那么多就业岗位。其实三年工作经验远比三年研究生重要，只不过那些考上研究生的不愿意承认罢了education is joke
江雨,反正我没了，我已经被卷死了
左惠京子,大部分人高中毕业时已经18岁了，你可以理直气壮地去外面找工作了，那你为什么还要读大学？你肯定知道，高中毕业就去找工作，多半干的也就是些苦力活，工资还贼低。你大学毕业就去找工作，工作肯定是能找到的，但那符合你的预期，令你满意吗？大多数情况下，学历越高，你的机会也就越多，工资也会更高。当然，这并不是绝对的正比例关系，也有例外情况，但你那么自信你就是那个例外吗？如今大学生遍地都是，你是大学生一点都不稀奇，你不是大学生反倒是有那么一点意外。有次我和当时的男友一起去见我的一位女性朋友，同她一起吃饭，她那时是研究生在读。她说现在谁还不是大学生啊，研究生也多了，所以她还想继续往上读博士。聊天期间意外得知我男友竟然没上过大学，只读了个中专，她当时脸上惊讶的表情根本就掩盖不住，瞬间气氛变得有些尴尬，但她很快又说“不是大学生也没什么，你情商挺高的，懂很多道理，大家应该都喜欢你”。现在社会竞争那么激烈，而学历是我们竞争的“筹码”之一。你如果只是一个本科生，甚至还只是上的普通大学，那你顶多就只能说达到了平均水平。其实是没任何优势的，这个本科学历只是让你不比别人差，但也不会比别人好。而且你若想去北上广，进大厂，你只是一个本科学历，还没有任何突出特长优势的话，真的挺难的。就算有机会进了，可能也只是个外包。现在很多大厂外包感觉真的像是给大学生、专科生准备的。你想去体验一下话，倒也不是很难。但进去之后，你会发现转正甚至晋升涨薪的机会就太少了，而且和正式员工之间差别还挺大，包括薪资福利、成长机会等，感觉处处低人一等，你心理会平衡吗？除非你对自己有明确的职业规划，想一毕业就投入到工作中，或是相比别人你有更多优势，不担心找不到好工作，或是本身对上学这件事就挺讨厌的。其他情况下，我个人觉得考研真的百利而无一害。
我取了好多遍了,怎么看？你不妨先问自己一个问题，你要是现在出去工作能找到令你满意的工作吗？就不说工作了，你现在出去实习能找到令你满意的实习吗？如果答案是否的话，那不就只能考研，考公了吗？现在的大环境，好就业吗？可能有人想说是我们是眼高手低。啥样的工作都无法满足我们的心 意xs房价物价要是没那么高，谁愿意挤破头去大公司加班加点的拿命赚钱呢？真心考也好，跟风考也好，都是为了活下去罢了。人数的数据看看就好，别人的打算听听就好，等你真上考场了，发现还是有很多人放弃考的。。。。
