用户昵称,商品id,评分,商品尺寸,商品颜色,评论时间,评论内容,评论类型
你***泽,16559840409,5,60升,??【黑科技】电子镁棒零电洗,2021-11-02 15:13:17,外形外观：好看大气 喜欢白色的 加热速度：加热速度很快 耗能情况：还不错吧 比较省电 其他特色：电器一直都买美的的 主要还能用控制我比较喜欢,pos
****n,14824331710,5,60升,【新品首发】电子镁棒零电洗,2020-11-01 13:55:35,其他特色：物流速度超级快，昨晚下单的，现在就收到了。售后师傅十分专业，十分满意 外形外观：美观大方，液晶屏幕高端大气上档次  洗浴时间：加热超级快，钛棒高科技,pos
6***m,16582006490,5,60升,??【黑科技】电子镁棒零电洗,2021-11-05 18:49:51,外观大气漂亮，加热很快。。很满意。安装师傅也特别好。,pos
j***n,15967016558,5,60升,【新品首发】电子镁棒零电洗,2021-07-11 16:01:11,家里热水器有几年了，特挑选一个不必换镁棒的这一款，相信美的品牌，相信京东平台，物流很快，预约安装很顺利，师傅很给力。原本担心乡下不给送，结果送达没问题，感谢京东物流。师傅预约准时到达，安装耐心细致，装完又调试，干下来出了一身的汗，师傅辛苦啦。,pos
l***g,15311134552,3,60升,【新品首发】电子镁棒零电洗,2021-02-09 21:46:02,还是十分失望的。冬天只能洗分钟热水。升的电热水器的极限了吧。再热提示要一个小时了。所以广告里不会告诉你，冬天持续洗澡时间的。可以方便查看热水器信息，还是挺方便的。可以加个星星。安装能符合基本安全标准，离墙壁有空隙 洗浴时间：分钟 外形外观：比较美观 加热速度：小时,pos
花***訫,14888614380,5,60升,【高端旗舰】电子镁棒即开即热,2020-11-12 18:27:28,外形外观：金色外观大气，耐看，耐脏，大小合适，显示屏一目了然，操作很简单，性价比很高的一款 加热速度：安装完就插电加热，速度很快不一会的功夫就有温度了变频加热很实用，生活洗漱，洗澡可用不同功率加热 耗能情况：有待观察，一级能耗应该不会太高 手机预约洗浴很方便 咱们当地安装师傅很用心，点赞！！ 用过一段时间再来评论吧,pos
1***3,14199763037,5,80升,【高端旗舰】电子镁棒即开即热,2020-05-26 19:35:01,美的 - 电热水器，昨天下午送货到我家，今天下午师傅上门安装。热水器加热速度快，还可以出水断电，安全系数高，我很喜欢。热水器处表漂亮大气。安装师傅服务到位我很满意。送货员从楼送到楼辛苦了。黄山和美的客服服务态度好我很满意。感谢京东！感谢卖家！！给五星好评！！！,pos
d***g,15288847773,5,80升,【新品首发】电子镁棒零电洗,2021-02-03 22:09:13,静音。加热迅速。省电。遥控灵敏且操作界面简单明了。没有复杂的配件，自己安装方便快捷。包装箱内配备双份专用膨胀螺栓。箱体自带安全地线。收到操作简洁灵敏。智能联网。总之非常顺心。,pos
****n,16275088598,5,60升,【新品首发】电子镁棒零电洗,2021-09-09 12:03:40,符合家庭的需求，看上去还很高档，安装师傅也很专业，很快就装好了，不用担心再需要清洗了,pos
****a,15054287063,5,60升,【鸿蒙智联】除氯净水护发柔肤,2020-12-16 13:34:28,这款电热水器是美的双十二首发新产品，外观美丽大方，颜值高。今天收货，当天就来安装了，美的师傅服务态度好，安装得很到位。这是一款终身免换镁棒的产品，还有一个除氯过滤器，对头发和皮肤大有益处。八年免费维修，可以放心使用。用的感受有待追评。总之我很满意，给个好评并推荐大家购买。,pos
****k,15063160925,5,60升,【鸿蒙智联】除氯净水护发柔肤,2020-12-18 11:52:48,一打开就惊艳了，太漂亮了，家里都很满意，师傅人特别好，服务也好，安装非常漂亮，测试之后也很不错，家里再也不用担心冬天水凉了，机器很完美，感谢美的，全五分好评哈哈 外形外观：漂亮 加热速度：快 耗能情况：一级 其他特色：服务太棒了,pos
浮***丹,15719884699,5,60升,【高端旗舰】电子镁棒即开即热,2021-05-26 10:44:25,热水器安装很及时，安装师傅十分专业，很满意。商品很不错，预约安装后马上就给致电预约安装后安装了，商品看起来高档大气，美的热水器内含镁棒净水设备，不用担心水质问题，可以放心使用。,pos
****m,15436107690,5,60升,【新品首发】电子镁棒零电洗,2021-03-18 21:47:35,第二次在美的购买热水器咯，物流依旧送货很快呢，热水器到货一直没让我失望，外观很漂亮，很大气很喜欢，使用起来超方便的，手机下载直接开关电源既方便又省电，安装的师傅上门很快，做事情很认真，服务很到位，还很认真的和我讲解，真心没话说了，美的升电热水器电子镁棒免更换 ，安全零电洗智能家电控制-()值得购买哦，,pos
d***业,15750455792,5,60升,【新品首发】电子镁棒零电洗,2021-06-02 17:18:26,东西质量还可以，快递速递也很给力。很满意的一次购物，包装很好，颜值不错，发货速度快，很惊喜，材料和做工都不错，服务态度一流，点赞！,pos
木***唧,14825059286,5,60升,【新品首发】电子镁棒零电洗,2020-11-01 16:23:12,月号凌晨下单，没想到上午这么快就到了，安装师傅很热情，热水器高端大气上档次，质量真的不错，朱老板生意兴隆财源广进,pos
施***请,14711567323,5,60升,【新品首发】电子镁棒零电洗,2020-10-03 15:04:09,首先说配送：非常快速，而且专业 再说安装上，师傅很耐心 ，而且辅料价格真的不贵 起码比较专业 再说功能上，几乎满足日常需要，无论是免更换镁棒，还是出水断电，还是变频，不仅能在遥控器上操作，还能再手机和面板上自行操作，外观很漂亮我很喜欢，值得购买，加热速度很快，安装师傅也很好，安装很有耐心，出水断美的功能简直太好了，以前洗澡总担心，现在好了，美的热水器这个牌子值得信赖,pos
****1,16548534491,5,60升,【高端旗舰】电子镁棒智能杀菌,2021-10-31 21:00:48,颜值很高，热水速度也很快。挺好用的,pos
冰***丽,16206491448,5,60升,【新品首发】电子镁棒零电洗,2021-08-27 13:33:31,装好了！装完之后挺好看的 外观很漂亮 性能也很好 烧水挺快的 也很节能 就是安装的时候还需要另外交钱 我觉得以后可以把这一项写在价格里面 这样 大家心里会有点谱,pos
****d,15059914843,5,60升,【鸿蒙智联】除氯净水护发柔肤,2020-12-17 16:48:03,一看外观就是属于高端热水器，正好我的手机也是华为手机，使用起来非常方便，安装师傅装的也很认真，有滤芯过滤以后用起来能享受清净好水，值得购买使用的。,pos
星***1,16588627703,5,60升,??【黑科技】电子镁棒零电洗,2021-11-06 20:30:12,东西还是很不错的 当时没有安装 另约了时间 可以推荐，,neg
****2,16732477120,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-27 18:47:43,外形外观：高端大气漂亮完美 加热速度：很快，洗澡热水非常快很满意 耗能情况：一级能耗比较节能 洗浴时间：一家人刚好够用,pos
l***r,14823996426,5,60升,【新品首发】电子镁棒零电洗,2020-11-01 12:44:39,京东物流一如既往的给力，才下单半天就收到货了，新款电热水器颜值很高，能效一级也省电，镁棒新工艺也很让人期待，具体使用效果等安装完成后再进行追评,pos
清***e,15568560855,5,60升,【新品首发】电子镁棒零电洗,2021-04-17 07:44:03,家里太阳能的加热功坏了，不得不买一个电热水器，看了好几个牌子的，感觉美的的这个还不错吧，今天下单，明天就到了，配送非常快速，功能上，几乎满足日常需要，无论是免更换镁棒，还是出水断电，还是变频，不仅能在遥控器上操作，还能再手机和面板上自行操作，外观很漂亮我很喜欢，值得购买，加热速度很快，安装师傅也很好，安装很有耐心，辅料用了，那个塑料的混水阀就不好了，出水的时候声音很大。不过出水断电的功能简直太好了，以前洗澡总担心，现在好了，美的热水器这个牌子值得信赖,pos
****e,14882686800,5,60升,【新品首发】电子镁棒零电洗,2020-11-11 21:34:28,刚装上感觉特别大气，晚上特地试了试，加热速度很快。一次洗三到四人绝对没问题，特别是喜欢冲热水澡的人福音。,pos
a***9,15194367502,5,60升,【奢华净浴】除氯净水护发柔肤,2021-01-12 19:19:49,高颜值，高品质，非常好，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢 安装人员热情规范到位 科技感满满 还能控制 相信美的,pos
Z***p,16686143747,5,80升,【高端旗舰】电子镁棒涡旋速热,2021-11-19 15:09:09,已经安装开始使用了，送货上门，免费安装，非常棒，建议加购，质量和店里面一样的,pos
****d,16730818776,5,60升,【鸿蒙智联】除氯净水护发柔肤,2021-11-27 13:35:45,热水器很好很满意  安装师傅态度也很好  使用也很方便,pos
夏***一,16486662639,5,60升,【高端旗舰】电子镁棒即开即热,2021-10-19 18:48:07,外观大气，这个颜色看起来很高档 ，全家人很喜欢,pos
1***满,16563267104,5,60升,??【黑科技】电子镁棒零电洗,2021-11-03 00:00:03,果然是京东物流，前一晚下单，第二天下午就送货上门，安装师傅还很贴心提前电话预约时间，第二天就上门安装了，热水器外观很好看，相信大品牌质量，活动价格很优惠，开心！,pos
京***户,16573882455,5,60升,??【黑科技】电子镁棒零电洗,2021-11-04 15:37:38,物流速度快，快递小哥也很热情，一个人给背到六楼，真正做到了送货上门的服务，包装也很好，看着质量很不错，立马叫了安装师傅就给装上了，期待花洒到货后赶紧试一下！,pos
****d,15109848881,5,60升,【鸿蒙智联】除氯净水护发柔肤,2020-12-29 12:13:19,一眼就相中了这款热水器，物流很快新款颜色太喜欢了，功能也很强大，安装师傅安装的很好，安装完也耐心等待给我讲解用法，大品牌值得信赖,pos
****l,15215358548,5,60升,【高端旗舰】电子镁棒即开即热,2021-01-18 09:45:44,外形外观：高端大气上档次 加热速度：非常快，一家三口接力洗没问题！ 耗能情况：自动断电，恒温节能，保温效果很好！ 洗浴时间：分钟接力洗！ 其他特色：其他特色：沐浴智能化热水如期而至 ，有防电墙，有效解决漏电问题，美棒免更换，节能省电，加热速度快。,pos
夶***萝,15243273292,5,60升,【鸿蒙智联】除氯净水护发柔肤,2021-01-24 17:50:53,等这个热水器很久了，终于等到搞活动。颜色超爱！比较独特！安装师傅也特别好！安装的很完美！之前一直犹豫买空气能还是热水器，最后还是选择热水器！很高兴买到自己钟意的东西！感谢美的,pos
淚***笑,14824606733,5,60升,【新品首发】电子镁棒零电洗,2020-11-01 14:51:09,外形外观：外观设计时尚大方，放到卫生间很好看。 加热速度：大功率加热速度很快。 耗能情况：变频设计节能省电。 其他特色：无线网远程控制非常方便，在外也能控制热水器，出水断电也可以解决漏电问题了,pos
纪***r,16614408696,5,60升,【极地套系】电子镁棒免清洗,2021-11-10 20:48:32,加热速度很快，家里原来就是美的的，用了多年了，品质特别好，想换个新的，所以直接买了同品牌的，客服态度特别好，售后人员也特别好，正赶上北京大雪，顶着大雪送的货。真心不错！,pos
****6,16691438659,5,80升,【高端旗舰】电子镁棒涡旋速热,2021-11-20 13:19:47,这款特别好非常高大上，不但颜值高，东西也很棒。省电烧水快非常智能。服务也非常到位送货上门????美的值得信赖 外形外观：很高高大上 加热速度：非常快 耗能情况：很节能 洗浴时间：轻轻松松七、八个人没关系,pos
大***乪,15792706600,5,60升,【新品首发】电子镁棒零电洗,2021-06-11 13:30:52,这个热水器颜值很高大上，功能齐全新颖，免更换镁棒这个功能太贴心。制热快，出水均匀充足。 安装师傅提前两天就联系我了，安装专业，高效率，还细心教我如何使用智能连接，非常感谢！,pos
****c,15390969592,5,80升,【奢华净浴】除氯净水护发柔肤,2021-03-07 11:08:25,美的热水器质量还好，高端大气，我很喜欢，热水加热快，客服服务态度好又有耐心，物流很快但送货快递服务态度差，安装师傅服务态度好。,pos
白***3,14103231466,5,60升,【高端旗舰】电子镁棒即开即热,2020-05-02 13:34:49,外形外观：热水器包装完美，颜值很亮，显示屏配色也很好看 加热速度：加热速度很快，日常洗澡再也不需要过长时间等待 耗能情况：一级能效应该很省电 其他特色：链接可以操控，很方便。安装师傅服务很好，安装的又快又好,pos
****4,16687460455,5,80升,??【黑科技】电子镁棒零电洗,2021-11-19 18:40:01,外观还不错，很耐看，超值，值得推荐，美的家里很多都是这个牌子的小家电，，，，,pos
阳***宝,16711326259,5,60升,??【黑科技】电子镁棒零电洗,2021-11-23 20:02:16,千挑万选的热水器，外观大气，很新潮，颜色很好看，功能也比较全面，随时都能有热水，水流也比较大，推荐购买&; 加热速度：非常快,pos
c***g,16218370170,5,60升,【奢华净浴】除氯净水护发柔肤,2021-08-29 15:49:57,外观非常漂亮，可以手机控制，智能方便。安装服务很棒。根据我们的要求安排师傅上门安装，师傅很热心。活动期间买的，便宜很多呢。,pos
加***翔,15759736623,5,60升,【新品首发】电子镁棒零电洗,2021-06-04 14:43:21,非常好的一次购物体验，非常好用的一款热水器。买之前做了很多功课，研究了不同厂家不同品牌。最后还是选择了美的，大品牌，质量好，价格实惠，售后服务好。 外形外观：外形时尚大气，很适合家庭使用 加热速度：功率大，加热速度快 耗能情况：一级能耗，保温效果好 洗浴时间：出水快，容量大，足够家庭使用  总之，对这个热水器很满意，给五星好评，推荐大家购买,pos
碎***j,15965064493,5,80升,【新品首发】电子镁棒零电洗,2021-07-11 11:10:57,物流配送很快；热水器外观大方，比我原来的好看的多了。变频加热速度很快，很实用。买这款主要相中他免换镁棒。安装师傅也很给力，还帮忙把家里水管改装了,pos
1***p,16636158276,5,60升,【奢华净浴】除氯净水护发柔肤,2021-11-13 18:43:29,外形外观：外观干净大气'功能齐全   对比多家后选择的这家 加热速度：加热速度快'非常适合一家人使用 洗浴时间：淋雨时间久'储水多 耗能情况：耗能小'非常省点'总之性价比很高,pos
b***n,16572652201,5,80升,??【黑科技】电子镁棒零电洗,2021-11-04 12:38:41,赶上活动，非常划算，头一天下单，第二天就到了，安装师傅态度好，制热效果棒！,pos
****8,15907688024,5,60升,【新品首发】电子镁棒零电洗,2021-07-02 05:37:45,家里旧的热水器洗澡水小忽冷忽热，换的这个，看了很久也对比了实体店，价格优惠，东西也很好看，还可以远程控制，没有出现过任何问题，安装师傅也很好，很满意，五星好评,pos
****l,16508285406,5,60升,【内胆免清洗】电子镁棒零电洗,2021-10-23 21:10:40,很好用，以旧换新完美收官，让生活更美好，电子镁棒不用担心里面有水垢了，还省电，居家生活必备，最重要的是价格实惠了，好用就行,pos
s***爱,15832487732,5,60升,【鸿蒙智联】除氯净水护发柔肤,2021-06-19 11:29:01,颜色大气，送货很快。安装的师傅很负责，安完以后告诉注意事项，怎么保养，怎么清洁，很耐心，赞一个,pos
文***帅,14131491876,5,60升,【高端旗舰】电子镁棒即开即热,2020-05-09 15:27:24,外形外观：高端大气上档次 耗能情况：一级耗能，省电好选择 其他特色：非常智能，可以连接，手机连接非常方便，还可以按键，遥控机控制，多样选择 服务一级棒，无论是配送还是安装都提前联系确认时间，配送送货上门，安装师傅安装后垃圾都给处理好，认真告知如何使用，态度超级好,pos
****g,16629614640,5,60升,??【黑科技】电子镁棒零电洗,2021-11-12 19:37:46,热水器收到啦，非常购买好，安装师傅人很好，安装完还教怎么用，值得大家～,pos
呼***静,16277920848,5,60升,【新品首发】电子镁棒零电洗,2021-09-09 23:28:52,外观高端大气上档次，功能齐全，最主要还能手机远程遥控，最让我心动的就是这款不用清洗内胆的热水器，颜色款式都是我喜欢的样子。物流也超给力，家里没人，通知我后我联系老妈去收货，快递小哥不辞辛苦隔着一栋楼搬来又搬去的，很贴心。赞啦！安装师傅很专业，耐心地讲解这款机型的各种功能，还耐心地教会我父亲怎么使用超控，我父亲都说这小师傅态度好，信心又为客户考虑周全，很满意选择了美的还有美的的售后服务，超超赞！,pos
****U,15337692275,5,60升,【新品首发】电子镁棒零电洗,2021-02-21 19:19:09,实际颜色比网图要更白一点，特别简约时尚大方，刚开始感觉挺大的，装完感觉就没那么大了，特别好看实用，安装人员也非常专业，服务非常周到，特别推荐大家购买。,pos
登***7,16647735657,5,60升,??【黑科技】电子镁棒零电洗,2021-11-15 11:03:41,外形外观：白色简约大气 加热速度：变频加热，很快 耗能情况：一级能效省电 其他特色：安装师傅很耐心负责 相信美的质量～,pos
爱***8,16565541068,5,60升,??【黑科技】电子镁棒零电洗,2021-11-03 11:27:48,安装满意！热水器也很好，看上去高大上，我们家都是美的产品值得购买！,pos
****c,15849969704,5,60升,【高端旗舰】电子镁棒即开即热,2021-06-22 10:41:21,颜值很高，性能很强，优惠很大，功能齐全，使用方便，安装师傅特别热情，服务到位,pos
苗***G,15028560322,5,60升,【新品首发】电子镁棒零电洗,2020-12-11 10:50:36,白色的外观，简约美观，速热北方很需要，一级能效省电，可以连接，主要看中电子镁棒，免更换设计，省去换镁棒的烦恼。,pos
z***3,14723232751,5,80升,【高端旗舰】电子镁棒即开即热,2020-10-06 20:28:38,这次过节买的热水器非常超值，安装使用上水量特别大，加热很快，而且特别省电，总之感受非常棒,pos
l***g,15746345883,5,60升,【新品首发】电子镁棒零电洗,2021-06-01 20:19:20,这次翻新家里电器基本都是美的，热水器空调烟机之类的，美的品质没得说。我的热水器位置比较小，考虑更换镁棒和清洗，选了这款免更换镁棒的，这样就不用担心更换镁棒排水啊之类的一系列的问题了，售后质保也很好,pos
淸***孑,15801615466,5,80升,【高端旗舰】电子镁棒即开即热,2021-06-13 15:20:30,外形外观：外型非常漂亮。 加热速度：的加热速度还是很快的。 耗能情况：安装好以后还没怎么用，能耗还真的不是很清楚。 洗浴时间：升的洗多久也没什么问题。 其他特色：可以用来控制不知道是这款热水器的特色,pos
不***酋,16617197157,5,80升,??【黑科技】电子镁棒零电洗,2021-11-11 09:42:05,终于安装好了，之前调货调了好久，今天一大早就预约了安装，很棒，安装师傅也很用心,pos
0***-,16181002357,5,60升,【新品首发】电子镁棒零电洗,2021-08-23 09:49:50,外观很漂亮，加热速度也很快，安全性能高，也不怎么耗电，安装师傅人很好！,pos
棉***哦,15916986171,5,80升,【奢华净浴】除氯净水护发柔肤,2021-07-03 14:45:23,外观很舒服，颜色好看，功能强大。物流安装非常到位。是个不错的选择,pos
h***g,16431347497,5,60升,【内胆免清洗】电子镁棒零电洗,2021-10-08 10:41:56,很满意，很省心，出水断电，不用换镁棒，安装师傅很热情，空间正好。,pos
k***0,15415091173,5,60升,【新品首发】电子镁棒零电洗,2021-03-13 12:00:28,家里的热水器用时间长了，怕不安全，果断买了这款无需换镁棒热水器，很方便，加热速度也挺快的，质量不错，极力推荐大家购买哦！！！,pos
H***蒙,16425998923,5,60升,【鸿蒙智联】除氯净水护发柔肤,2021-10-07 12:39:19,热水器质量很好，操作方便很智能，安装师傅安装也很专业，只是购买时间与到货时间相差天，官方需采购也未及时说明，差点耽误国庆假期，询问免辅材费的问题售前与售后客服相互推诿，不知道相关政策，确实表现欠佳！,pos
盈***店,15095429932,5,60升,【新品首发】电子镁棒零电洗,2020-12-25 19:57:36,新家必备，免清洗智能净热水器 。热水器一用就八年免清洗热水器 日后更省心 。自动清洁更省心 给你一个偷懒的理由 免换钛兴更省心，新家有它不操心 。采用高纯度电子镁棒释放电子 有效阻止镁棒消耗 耐腐蚀性高。钛芯达到零消耗 水质干净无污染 。升级自动进水器 管路多效抑菌金率 %抑菌 亲肤水 每寸肌肤都要细节呵护 。双管是瓦到瓦 变频速热洗浴无需等待 。开启云管家功能 通过智能算法 闲时不加热 灵活开启关闭加热 比你更懂省电 。一贴断电很给力 洗澡不用拔插头 。防电墙保护更全面 漏电断电 漏电实时报警 安全一体化用电安全监测 。 体检象牙白大白搭理的潮时尚线条圆润温和，极地简约 白色百搭 当下时尚风格点缀浴室浴室 沐浴满满愉悦感 。,pos
h***g,16591423388,5,60升,??【黑科技】电子镁棒零电洗,2021-11-07 11:49:10,非常好，第一个也是美的用了十年了，这个更好更智能，送货很快，安装速度很快,pos
R***港,15246132427,5,60升,【新品首发】电子镁棒零电洗,2021-01-25 11:42:20,美的的新品，免换镁棒，变频版，非常满意，安装也专业，安装师傅说价格便宜，还有，能用手机直接控制。感谢！,pos
右***助,14426594807,5,60升,【高端旗舰】电子镁棒即开即热,2020-07-17 10:56:46,外形外观：外观很漂亮的，简洁大方，面板渐变色很时尚 加热速度：加热速度还不错，几分钟从度到度 耗能情况：功耗有待观察，刚装上还没用 洗浴时间：洗浴时间得有待体验，刚装上来不及试 其他特色：带功能，带遥控器，应该控制起来很方便，速热功能很高效，还有自动除菌功能,pos
****m,16489244331,5,60升,【内胆免清洗】电子镁棒零电洗,2021-10-20 11:11:33,东西不错   售后非常好    安装师傅非常细心    干活干净立正    每一步都非常认真   好评！,pos
香***1,16396661883,5,80升,【内胆免清洗】电子镁棒零电洗,2021-10-01 22:41:56,一直喜欢用品牌的东西，这个热水器很好，还可以预约时间，还可以连网络，热水快，很好,pos
李***7,15224021005,5,60升,【新品首发】电子镁棒零电洗,2021-01-20 10:47:04,非常好的的一款热水器，出水自动断电，烧水非常的快,pos
****o,16565220733,5,60升,??【黑科技】电子镁棒零电洗,2021-11-03 10:35:56,服务态度非常好，机器款式也非常好看，颜色漂亮，反正非常满意,pos
****梦,14823729849,5,60升,【新品首发】电子镁棒零电洗,2020-11-01 11:47:15,号凌晨下单，转天上午就收到货了，物流很快，美的是大品牌，一直买他家电器，师傅也很好！客服也不错，耐心讲解！货物保存完好！期待安装后的效果，使用后再评价！,pos
喔***佛,15230782205,5,60升,【奢华净浴】除氯净水护发柔肤,2021-01-21 19:04:20,非常满意。外观设计相当时尚，各种信息显示清晰明了。功能上除菌、去氯、滤垢都全了。水热速度也很快。还能通过远程控制以及查看各项状态数值，预定加热时间，很方便。上门安装的师傅也非常认真负责。,pos
芒***店,16702513407,5,80升,【高端旗舰】电子镁棒涡旋速热,2021-11-22 14:53:07,外观不错，高端大气上档次，实用方便，相信美的！,pos
任***西,16515456166,5,60升,【内胆免清洗】电子镁棒零电洗,2021-10-25 12:36:34,安装完感觉是很好看的，还没有使用， 听说有遥控，也可以手机控制！总体很满意，美的，大企业，值得保障！,pos
数***R,15765087089,5,80升,【高端旗舰】电子镁棒即开即热,2021-06-05 16:37:05,可以，总算安装用上了，泄压阀坏了漏水，师傅及时更换，好评，安装师傅很专业,neg
赵***阳,15035240285,5,60升,【高端旗舰】电子镁棒即开即热,2020-12-12 17:52:49,安装师傅非常给力，干活麻利，收费合理，服务满意！ 外形外观：外观怎么说呢？实在是太好康简直好看到爆，非常完美，总之就是很喜欢水果会喜欢的哦，就是起哄 加热速度：加热速度可以说是最快，匆匆的就跟坐火箭一样。,pos
w***7,16047691929,5,60升,【新品首发】电子镁棒零电洗,2021-07-27 16:36:36,一直相信美的品牌，家电系列，美的是市场占有份额最多的，家里的大家电都是美的，此款热水器性价比很高，出水断电，语音控制，电子镁棒，层内胆，无论在功能和安全性是都是很优良了，已经安装，期待使用。,pos
A***冷,16516271233,5,80升,【极地套系】电子镁棒免清洗,2021-10-25 15:48:43,产品到货非常快，质量也非常好，安装的师傅也是很细心帮忙安装,pos
r***7,15829025221,5,60升,【新品首发】电子镁棒零电洗,2021-06-18 19:22:14,变频就是省电，一级能效，关键是水热的很快，一家人洗澡也不用等，随时想洗就洗。最喜欢的还是出水断电功能，电热水器就怕漏电，尤其给孩子洗澡的时候，多少会不放心。有了断电出水，安心多了?,pos
s***1,15874031480,5,60升,【新品首发】电子镁棒零电洗,2021-06-26 18:19:07,美的产品的品质好，售后服务非常好，热水器安装师傅按约准时到位，安装过程顺利。并且安装师傅对热水器的操作进行了演示介绍，对美的安装师傅的服务点赞。,pos
Y***_,15210455554,5,80升,【新品首发】电子镁棒零电洗,2021-01-16 21:26:47,加热速度：速度与激情，肉眼可见的温度提升，淋在身上那叫一个爽！ 洗浴时间：固定&; 两三个人淋浴不成问题。 其他特色：手机可以遥控，还有非常先进的免换镁棒设计，高端大气！,pos
潘***轻,16549175005,5,60升,【奢华净浴】除氯净水护发柔肤,2021-10-31 22:24:43,装修没完成，还没安上，邻居家用的就是这款 外形外观：颜值高好看 加热速度：加热速度好 耗能情况：特别省电 其他特色：就喜欢这金色，土豪金,pos
F***r,16585293792,5,60升,??【黑科技】电子镁棒零电洗,2021-11-06 11:19:54,热水器收到了 颜值很高 热的速度也快 很满意 一如既往的支持美的  大屏显也好看 主要是不用换镁棒 免去麻烦 以后家电还买美的,pos
W***I,16701029026,5,80升,??【黑科技】电子镁棒零电洗,2021-11-22 10:32:26,双十一的时候买的，还有礼品，快递也特别给力，安装师傅特别好，也没有乱收费的现象,pos
****c,14686351883,5,60升,【新品首发】电子镁棒零电洗,2020-09-26 14:11:46,外形外观：外观精美耐看，符合个人审美。配送师傅非常好，送完货还给联系安装师傅，服务太赞了。 加热速度：相信大品牌的实力，还没开始正式使用，非常期待。 耗能情况：听装机师傅说每天就一度电的耗电量，我觉得都可以接受。,pos
****t,15845194915,5,60升,【新品首发】电子镁棒零电洗,2021-06-21 13:56:40,昨天收到的货，今天安装师傅就上门来安装，态度特别好，安装也认真，热水器不管是外观还是质量都很满意，很符合我理想中的哪一种。使用效果等后期用过再来追评,pos
****1,15496771290,5,60升,【新品首发】电子镁棒零电洗,2021-04-04 07:17:22,这次选择热水器是经过多次比较非常慎重考虑的，最后确定选择这款老牌子美的，老品牌值得信赖，京东更值得信赖，果然不负众望，热水器外观设计简洁漂亮、时尚、实用，功能齐全超前，服务周到，收费合理，八年质保让客户用着放心，这次购物很满意。,pos
士***士,16564954109,5,60升,??【黑科技】电子镁棒零电洗,2021-11-03 09:53:20,热水器颜值很高，安装师傅专业快速，十分满意，一下子买了两个,pos
****e,16695860879,5,80升,??【黑科技】电子镁棒零电洗,2021-11-21 10:32:29,外包洋气，可以用遥控器控制。两个功率，平时不用的话会自动保温，降低能耗，洗澡的时候切换到.功率，热起来非常快，值得购买！,pos
太***6,15171760573,5,80升,【新品首发】电子镁棒零电洗,2021-01-09 09:39:44,我关注了很长时间。元旦抢到了这一款。物流发货很快。快递小哥服务态度非常好。直接送到我家中。由于天气寒冷，零下十五六度。安装师傅打电主动打电话三四遍。等温度上升以后再安装。自来水全部冻坏。等安装以后再加评论。,pos
****9,16559877827,5,60升,【奢华净浴】除氯净水护发柔肤,2021-11-02 15:17:17,速度非常快，号付完尾款，以为要等好几天，结果月号已经到了，安装师傅当天就联系安装上了，美的打品牌效率是不一样，物流师傅好评，安装师傅也很耐心，总体体验感十足！,pos
o***c,14867474120,5,60升,【奢华净浴】除氯净水护发柔肤,2020-11-09 13:05:58,外形外观：金色的 挺好看的 加热速度：家里还没有住人，试用了一下，加热速度挺快的 其他特色：电子显示屏很大，数据清晰，操作方便，灵敏度很高 耗能情况：目前还不确定，以后使用看看，好在是一级能效的,pos
S***e,15631640816,5,60升,【新品首发】电子镁棒零电洗,2021-05-04 10:33:14,很不错不错了，价格便宜，性价比超高，还送美的电动牙刷。电子镁棒免换镁棒，内胆免清洗，特别人性化，烧水也特别快，安全系数很高。该说不说确实是一款特别好的热水器选择。爆赞！,pos
t***d,15922681938,5,60升,【奢华净浴】除氯净水护发柔肤,2021-07-04 11:11:51,美观大方，很适合我家卫生间搭配，加热快，智能控制，非常值得购买。,pos
l***i,15859479921,5,60升,【奢华净浴】除氯净水护发柔肤,2021-06-23 20:30:21,东西很好，大牌子值得信赖。安装小哥很敬业很用心，细心讲解注意事项与使用方法，很棒！,pos
夜***黑,16187246013,5,60升,【新品首发】电子镁棒零电洗,2021-08-24 16:04:07,预约了安装，过程很细致，边边角角的问题也都解决了，考虑得很全面，小哥技术很过硬！,pos
仲***雪,14684224262,5,60升,【新品首发】电子镁棒零电洗,2020-09-25 21:30:09,外形外观：这是我网购以来最满意的一个商品，比我预期的要好很多，外观颜值、产品功能都非常出色，五星推荐哦 加热速度：不错.刷会视频热水就可以了 其他特色：包装非常好，很严实，值这个价格大品牌值得信赖.外观漂亮.质量好款式新.制热效果快. 保温效果过.电子镁棒免换.免清洗.遥控方便.一级能效省电.信赖美的！！！,pos
s***9,14540656966,5,60升,【高端旗舰】电子镁棒即开即热,2020-08-17 15:22:03,美的热水器是当天零点秒杀拿到的，超级激动，特别实惠。家里本身就是用美的热水器的，用了很多年，现在家里加盖二层了，就需要添加新的热水器了。由于第一台好用，因此第二台又入美的品牌。我们是在农村的，但是物流还是很快，三天就送到了。但由于家里的线之前没布好，所以一直没有安装。周末总算安装上了，安装师傅也很专业。外形很时尚，功能齐全。,pos
